key,value
Afghanistan,9.65
Albania,44.17
Algeria,44.1
Andorra,
Angola,29.32
Antigua-and-Barbuda,
Argentina,66.33
Armenia,52.25
Aruba,
Australia,99.32
Austria,99.95
Azerbaijan,28.57
Bahamas,
Bahrain,82.61
Bangladesh,37.69
Barbados,
Belarus,81.16
Belgium,99.01
Belize,48.21
Benin,23.79
Bermuda,
Bhutan,33.67
Bolivia,67.96
Bosnia-and-Herzegovina,79.34
Botswana,44.83
Brazil,83.56
Brunei,
Bulgaria,83.97
Burkina-Faso,21.05
Burma-Myanmar,36.14
Burundi,6.94
Cambodia,32.6
Cameroon,23.53
Canada,99.63
Cape-Verde,
Central-African-Republic,13.75
Chad,8.75
Chile,87.06
China,88.71
Colombia,55.94
Comoros,21.69
Costa-Rica,68.49
Croatia,91.8
Cuba,
Cyprus,93.13
Democratic-Republic-of-the-Congo,15
Denmark,100
Djibouti,12.27
Dominica,
Dominican-Republic,49.55
Ecuador,64.18
Egypt,26.1
El-Salvador,30.71
Equatorial-Guinea,
Eritrea,
Estonia,99.38
Ethiopia,34.83
Faroe-Islands,
Fiji,
Finland,99.53
France,99.24
Gabon,27.55
Gambia,28.56
Georgia,70.47
Germany,99.98
Ghana,39.2
Gibraltar,
Greece,94.88
Grenada,
Guatemala,43.54
Guinea,13.77
Guinea-Bissau,
Guyana,
Haiti,28.19
Holy-See-Vatican-City,
Honduras,33.88
Hong-Kong,97.8
Hungary,88.22
Iceland,100
India,77.3
Indonesia,50.51
Iran,89.62
Iraq,15.76
Ireland,99.66
Israel,92.93
Italy,97.29
Ivory-Coast,20.57
Jamaica,72.67
Japan,98.49
Jordan,43.35
Kazakhstan,81.11
Kenya,50.57
Kiribati,
Kuwait,79.84
Kyrgyzstan,40.97
Laos,37.32
Latvia,96.62
Lebanon,20.7
Lesotho,33.32
Liberia,28.59
Libya,65.67
Liechtenstein,
Lithuania,93.53
Luxembourg,98.77
Macao,
Madagascar,9.57
Malawi,20.22
Malaysia,88.17
Maldives,79.44
Mali,28.44
Malta,96.45
Mauritania,19.03
Mauritius,89.96
Mexico,35.44
Micronesia,
Moldova,64.25
Monaco,
Mongolia,98.17
Montenegro,68.36
Montserrat,
Morocco,42.24
Mozambique,38.63
Namibia,65.57
Nepal,52.8
Netherlands,99.73
New-Caledonia,
New-Zealand,98.75
Nicaragua,23.19
Niger,9.52
Nigeria,45.14
Norfolk-Island,
North-Korea,
Norway,99.48
Oman,73.6
Pakistan,16.29
Palau,
Palestine,33.18
Panama,44.97
Papua-New-Guinea,
Paraguay,27.08
Peru,56.26
Philippines,45.98
Poland,95.72
Portugal,92.65
Puerto-Rico,69.74
Qatar,65.88
Republic-of-the-Congo,18.12
Romania,69.12
Russia,88.71
Rwanda,36.66
Saint-Lucia,
Saint-Vincent-and-the-Grenadines,
Samoa,
San-Marino,
Sao-Tome-and-Principe,
Saudi-Arabia,74.32
Senegal,28.13
Serbia,89.42
Seychelles,
Sierra-Leone,13.78
Singapore,97.19
Slovakia,95.62
Slovenia,99.05
Solomon-Islands,
Somalia,7.86
South-Africa,84.11
South-Korea,98.67
Spain,98.3
Sri-Lanka,88.93
Sudan,15.27
Suriname,
Swaziland,
Sweden,99.69
Switzerland,99.49
Syria,23.25
Taiwan,94.71
Tajikistan,38.9
Tanzania,23.32
Thailand,94.15
Togo,24.9
Tonga,
Trinidad-and-Tobago,80.78
Tunisia,35.71
Turkey,73.37
Turkmenistan,40.58
Tuvalu,
Uganda,36.56
Ukraine,83.56
United-Arab-Emirates,84.56
United-Kingdom,99.76
Uruguay,74.13
USA,94.95
Uzbekistan,44.13
Vanuatu,
Venezuela,84.03
Vietnam,30.02
Yemen,6.45
Zambia,23.84
Zimbabwe,29.25
